14.2	14.6	5.6	13.7	11	8	10	14	15.3
15.3	16.5	13.8	3.9	11	8	9	14	12.8
12.8	9.3	9.4	12	11	8	8	14	8.3
8.3	6.9	13.1	12.5	11	8	8	14	13.9
13.9	11.5	13.6	10	11	8	9	14	12.4
12.4	10.3	11.2	5.6	11	8	10	14	5.6
5.6	10.9	11.5	7.7	12	8	10	14	12
12	6.8	11.2	9.3	12	8	11	14	12.5
12.5	10.1	12.9	10.8	12	8	11	14	13.5
13.5	15.4	11	4.3	12	8	11	14	10.9
10.9	12.9	9	4.8	12	8	12	14	12.8
12.8	16	12.8	14.5	13	8	12	14	8.7
8.7	14.4	17.1	8.2	13	8	12	14	8.2
8.2	16.8	10.9	6	13	8	12	16	6.7
6.7	15	16.9	14.6	13	8	12	16	5.1
5.1	5.9	9.7	5.8	13	8	12	16	4
4	13.1	11	12.8	13	8	12	16	10.3
10.3	7.9	1.7	4.6	13	8	12	16	9
9	8.5	9.2	10.6	13	8	12	14	10.3
10.3	11.4	11.3	3.2	12	8	12	16	11.3
11.3	4	9.8	8.5	13	8	12	16	5.4
5.4	13.2	2.4	5.9	12	8	12	16	12.2
12.2	6	2.9	10.6	13	8	11	16	16.4
16.4	14.1	16.8	13.2	13	8	11	16	12.5
12.5	11.9	22.9	10.3	13	8	11	16	4.8
